model,split,accuracy,f1_pos,roc_auc,pr_auc,brier,pr_mean_precision
buy_hold,val,0.452991452991453,0.6235294117647059,0.5,0.452991452991453,0.2526553119021441,0.7264957264957265
buy_hold,test,0.5092975206611571,0.6748802190280629,0.5,0.5092975206611571,0.250094305621203,0.7546487603305785
logreg[last],val,0.42735042735042733,0.4806201550387597,0.4522405660377359,0.42930380320691114,0.2546441399675303,0.41414807616952976
logreg[last],test,0.512396694214876,0.5945017182130584,0.5274773139745916,0.5387581420926854,0.2493151952431061,0.5355163947663487
sma_50_200,val,0.5470085470085471,0.0,0.5,0.452991452991453,0.452991452991453,0.7264957264957265
sma_50_200,test,0.490702479338843,0.0,0.5,0.5092975206611571,0.5092975206611571,0.7546487603305785
