epoch,train_loss,val_loss,pr_auc,roc_auc,f1,lr
1,0.6940704243523734,0.6980136036872864,0.4767699047156672,0.507370283018868,nan,0.0002
2,0.6932628665651593,0.6955317854881287,0.4699585271861176,0.5044221698113207,nan,0.0002
3,0.6928190674100604,0.6959760189056396,0.4635303956337256,0.5017688679245284,nan,0.0002
4,0.6919076698166984,0.6966041922569275,0.4567999359932501,0.49646226415094336,nan,0.0001
5,0.6939833079065595,0.6973272562026978,0.4527313161014186,0.49823113207547165,nan,0.0001
6,0.694762681211744,0.697280764579773,0.4522652117410513,0.4994103773584906,nan,0.0001
7,0.6919259258678981,0.6963267922401428,0.4505728019121041,0.495872641509434,nan,5e-05
